,AVG_KD,SIG_STR_PCT,TD_PCT,HEAD_PCT,LEG_PCT,clusters,cluster
2342,0.25,0.5534375,0.375625,0.475,0.958333333,0,pink
2343,0.0,0.460625,0.254375,0.431876607,0.957446809,0,pink
2344,0.0,0.0,0.0,0.0,0.0,2,dark purple
2345,0.0,0.9,0.25,0.789473684,1.0,0,pink
2346,0.0,0.405,0.175,0.3375,0.941176471,0,pink
2347,0.0234375,0.478344727,0.359306641,0.45309023,0.967804607,0,pink
2348,0.03125,0.6021875,0.5646875,0.535621037,0.852085967,0,pink
2349,0.078125,0.491484375,0.3909375,0.357609406,0.853354134,0,pink
2350,0.375,0.33125,0.0625,0.309322034,0.692307692,1,purple
2351,0.421875,0.450488281,0.101992188,0.273136095,0.889843887,1,purple
2352,0.267608643,0.297832031,0.116729736,0.401120665,0.935128286,1,purple
2353,0.25,0.4453125,0.09875,0.46031746,0.921348315,0,pink
2354,0.0,0.0,0.0,0.0,0.0,2,dark purple
2355,0.0,0.0,0.0,0.0,0.0,2,dark purple
2356,0.5,0.445,0.26,0.311111111,0.68627451,1,purple
2357,0.0,0.644140625,0.2615625,0.610016694,0.74742268,0,pink
2358,0.5,0.435,0.25,0.527272727,0.0,2,dark purple
2359,0.0,0.50625,0.2125,0.509803922,0.875,0,pink
2360,0.0,0.516875,0.75125,0.477631579,0.916666667,0,pink
2361,0.535217285,0.495664063,0.233459473,0.431413629,0.935128286,1,purple
2362,0.3125,0.49125,0.215,0.538732394,0.8125,1,purple
2363,0.18359375,0.409975586,0.108608398,0.277649808,0.723270862,0,pink
2364,0.0625,0.519375,0.394375,0.48143982,0.844444444,0,pink
2365,0.0,0.0,0.0,0.0,0.0,2,dark purple
2366,0.5,0.465,0.125,0.477272727,0.0,2,dark purple
2367,0.0,0.4325,0.25,0.368421053,0.636363636,0,pink
2368,0.0,0.580625,0.1975,0.611940299,0.72,0,pink
2369,0.0,0.445,0.475,0.392996109,0.772727273,0,pink
2370,0.5,0.33,0.0,0.571428571,0.0,2,dark purple
2371,0.0,0.4425,0.59,0.401315789,0.740740741,0,pink
2372,0.0,0.388046875,0.357421875,0.302761721,0.670103093,0,pink
2373,0.25,0.4925,0.57,0.5,1.0,0,pink
2374,0.3671875,0.424951172,0.217216797,0.304036471,0.673098847,1,purple
2375,0.0,0.345,0.75,0.291139241,0.655172414,0,pink
2376,0.0625,0.641328125,0.38875,0.529216152,0.854166667,0,pink
2377,0.25,0.325,0.215,0.305555556,0.705882353,0,pink
2378,0.25,0.49875,0.25,0.353159851,0.772727273,0,pink
2379,0.28125,0.50421875,0.21875,0.566243194,0.6,0,pink
2380,0.0,0.58,0.125,0.368421053,1.0,0,pink
2381,0.125,0.516875,0.3675,0.55982906,0.853658537,0,pink
2382,0.5,0.255,0.125,0.189655172,1.0,1,purple
2383,0.3125,0.428125,0.051875,0.293199554,0.626373626,1,purple
2384,0.0,0.0,0.0,0.0,0.0,2,dark purple
2385,0.0,0.44,0.25,0.536231884,0.571428571,0,pink
2386,0.0,0.38,0.3125,0.447368421,1.0,0,pink
2387,0.3203125,0.555859375,0.295703125,0.466562378,0.696629213,1,purple
2388,0.0,0.0,0.0,0.0,0.0,2,dark purple
2389,0.5,0.6,0.0,0.5,1.0,1,purple
2390,0.125,0.56765625,0.6125,0.481048035,0.885416667,0,pink
2391,0.25,0.433085938,0.442890625,0.232771496,0.882475951,0,pink
2392,0.0,0.0,0.0,0.0,0.0,2,dark purple
2393,0.0,0.0,0.0,0.0,0.0,2,dark purple
2394,0.0,0.4225,0.075,0.369230769,0.8,0,pink
2395,0.375,0.46375,0.5,0.571428571,1.0,0,pink
2396,0.0,0.45,0.155,0.362790698,0.742857143,0,pink
2397,0.0,0.69,0.5,0.464285714,0.666666667,0,pink
2398,0.0,0.0,0.0,0.0,0.0,2,dark purple
2399,0.640625,0.48171875,0.17640625,0.342036554,0.630136986,1,purple
2400,0.46875,0.389804688,0.068867188,0.35930226,0.797051171,1,purple
2401,0.25,0.465,0.25,0.397435897,0.75,0,pink
2402,0.125,0.381875,0.265625,0.278911565,0.368421053,0,pink
2403,0.0,0.26,0.5,0.4,0.0,2,dark purple
2404,0.0,0.465,0.5,0.545454545,0.0,2,dark purple
2405,0.0,0.5,0.5,0.0,0.0,2,dark purple
2406,0.015625,0.47171875,0.2825,0.391935484,0.835294118,0,pink
2407,0.0,0.0,0.0,0.0,0.0,2,dark purple
2408,0.0,0.4,0.0,0.272727273,1.0,0,pink
2409,0.03125,0.4784375,0.315,0.356382979,0.621621622,0,pink
2410,0.5,0.5375,0.3125,0.526785714,0.0,1,purple
2411,1.0,0.615,0.125,0.5,0.5,1,purple
2412,0.5,0.4375,0.36875,0.324175824,0.680851064,1,purple
2413,0.0,0.0,0.0,0.0,0.0,2,dark purple
2414,0.28125,0.3484375,0.2278125,0.272271016,0.731707317,0,pink
2415,0.4375,0.299609375,0.037734375,0.238649789,0.763919822,1,purple
2416,0.0,0.585,0.7,0.513513514,1.0,0,pink
2417,0.0,0.60625,0.625,0.56462585,0.875,0,pink
2418,0.0,0.0,0.0,0.0,0.0,2,dark purple
2419,0.0,0.0,0.0,0.0,0.0,2,dark purple
2420,0.0,0.36171875,0.2865625,0.356454721,0.462962963,0,pink
2421,0.125,0.32375,0.3175,0.245341615,0.789473684,0,pink
2422,0.0,0.295,0.5,0.279069767,0.0,2,dark purple
2423,0.015625,0.629375,0.473125,0.401892744,0.872340426,0,pink
2424,0.25,0.48875,0.28125,0.297709924,1.0,0,pink
2425,0.0,0.0,0.0,0.0,0.0,2,dark purple
2426,0.0,0.398212891,0.054541016,0.267118716,0.769505924,0,pink
2427,0.125,0.32,0.1925,0.247619048,0.0,2,dark purple
2428,0.5,0.49,0.0,0.432432432,0.0,2,dark purple
2429,0.5,0.371875,0.051875,0.26746507,0.669064748,1,purple
2430,0.0,0.0,0.0,0.0,0.0,2,dark purple
2431,0.0,0.35,0.5,0.181818182,0.0,2,dark purple
2432,0.0,0.453125,0.33125,0.514360313,0.6,0,pink
